,prod_names,prod_price
0,Jabra Elite 65t True Wireless Earbuds,166.48
1,Sonos Beam Sound Bar with Amazon Alexa,399
2,Anki Vector Robot Sidekick,174.99
3,Amazon Echo Plus (2nd Gen) Smart Speaker,149.99
4,Anker PowerCore Lite Battery Pack,33.99
5,Apple Watch Series 4,399
6,GoPro HERO7 Black Action Camera,375
7,Google Home Hub Smart Display,129
8,Oculus Go Standalone Virtual Reality Headset,179
9,Apple iPad Pro,789
10,Bose Home Speaker 500 Smart Speaker with Amazon Alexa,399
11,Sony WH-1000XM3 Wireless Noise-Canceling Headphones,348
12,Samsung Galaxy Note9 Smartphone,889.92
13,Master & Dynamic MW07 Completely Wireless Earbuds,299
14,Netgear Orbi Mesh Wi-Fi System with Amazon Alexa,398
15,SteelSeries Arctis 3 (2019 Edition) Wired Gaming Headset,69.99
16,OnePlus Type-C Bullets USB-C Earbuds,19.95
17,Samsung Galaxy Watch Smartwatch,277.99
18,UA Sport Wireless Train Headphones by JBL,199.95
19,JBL Link View Smart Speaker,249.95
20,Apple HomePod - White,339
21,Victorinox Lexicon Hardside Frequent Flyer Smart Suitcase,391.91
22,Apple MacBook Air with Retina Display,1159
23,​LG C8 OLED 4K TV,1696.99
24,​mophie​ powerstation USB-C XXL External Battery Pack,149.95
25,Olloclip Mobile Photography Box Set for iPhone X,99.99
26,Sony Cyber-Shot DSC-RX100 VI Digital Camera,1198
27,LG Watch W7 Hybrid Smartwatch,249.99
28,​RHA MA650 Wireless​ Earbuds,81.27
29,Incase Nylon Accessory Organizer,49.95
30,Amazon Fire TV Stick 4K Streaming Player,34.99
31,DJI Mavic 2 Pro Quadcopter Drone,1445
32,Belkin Boost Up Wireless Charging Stand,69.99
33,Canon EOS R Mirrorless Digital Camera,2299
34,Satechi Aluminum Multi-Port USB-C Adapter,79.99
35,Ultimate Ears BOOM 3 Waterproof Wireless Speaker,149.99
36,Tile Pro Tracker with Replaceable Battery,59.99
37,Marshall Kilburn II Portable Speaker,249.99
38,Beats Studio3 Wireless Headphones,279.95
39,Dyson Cyclone V10 Cordless Vacuum,501.18
40,Nest Hello Video Doorbell,219
41,Logi Circle 2 Home Security Camera,119.99
42,G-Shock G-Steel Resin Casio Analog Watch,600
43,​​First Alert Onelink Safe & Sound Smoke + Carbon Monoxide Alarm​,199
44,Nintendo Switch Gaming Console,299
45,Apple TV 4K Streaming Console,179
46,Sony WF-SP700N True Wireless Earbuds,128
47,Microsoft Xbox One X Gaming Console,399.99
48,Apple iPhone Xs and iPhone Xs Max,999
49,Pad & Quill Wooden Rollerball Pen,149.95
50,Netgear Arlo Pro 2​ Home Security System​,382.45
51,Samsung HMD Odyssey Windows Mixed Reality Headset​​,395
52,Philips Somneo Sleep and Wake-up Light,199.95
53,Fitbit Versa Smartwatch,148.96
54,Plantronics BackBeat FIT 500 On-Ear Sport Headphones,80.24
55,Google Home Mini Smart Speaker,29
56,HP Omen Gaming Laptop (17-inch)​,1319.99
57,WeMo Mini Smart Plug,24.99
58,Blue Yeti Nano USB Microphone,99.99
59,​Airmega 400S Smart Air Purifier,635
60,Pioneer Rayz Plus Noise-Canceling Lightning Earbuds,117.12
61,Fujifilm Instax Square SQ10 Hybrid Instant Camera,279
62,Sphero R2-D2 App-Enabled Droid​​,70
63,Logitech G Pro Wireless Gaming Mouse,145.25
64,WD My Passport Ultra External Hard Drive​​,98.99
65,Amazon Echo Dot (3rd Gen) Smart speaker with Alexa ,29.99
66,Acer Spin 5 Touchscreen Laptop,769.94
67,SanDisk Extreme Portable SSD,105.99
68,Neato D7 Connected Robot Vacuum,696
69,Soundcore Spirit Pro ﻿Wireless Earbuds,34.99
70,Apple MacBook Pro with Touch Bar (15-inch),2099
71,​Olympus Tough TG-5​ Waterproof Camera​,399
72,​Logitech MX Sound 2.0 ​Desktop Speakers,79.99
73,​​Insta360 ​ONE 360-Degree Camera,239.95
74,ecobee4 Smart Thermostat,199
75,V-MODA Crossfade 2 Codex Edition Wireless Headphones,349.98
76,Furbo Dog Camera with Treat Tossing Technology,134.99
77,Soundcore Flare Portable Speaker by Anker,49.99
78,Optoma UHD50 4K Home Theater Projector,1138
79,Sony Alpha a6500 Mirrorless Digital Camera,1098
80,Peak Design Slide Camera Strap,64.95
81,​Twelve South BookArc MacBook​ Stand,39.99
82,Klipsch Heritage Wireless Three Wireless Speaker,446.99
83,Audio-Technica AT-LP3WH Fully Automatic Turntable,199
84,Apple iPad (2018) Tablet,279.99
85,Philips Hue White and Color Ambiance​ Lighting Kit​​,169.15
86,Razer Wolverine Ultimate Chroma​ Xbox and PC Gaming Controller​,159.99
87,Logitech Craft Wireless Keyboard,175.93
88,Polar Vantage M Fitness-Tracking Watch,279.95
89,ecobee Switch+ Smart Light Switch,89
90,Canon IVY Wireless Mini Photo Printer,99.99
91,Roku Streaming Stick+ Streaming Device,49
92,TP-Link Kasa Smart Wi-Fi Power Strip,79.99
93,Microsoft Surface Go Windows 10 Tablet,799
94,Sengled Element Classic Smart ​Light Bulb​,9.99
95,​Sony Walkman NW-ZX300 MP3 Player​​,698
96,Nest ﻿Cam IQ Outdoor Security Camera,334.99
97,Whoosh! Screen Cleaner,9.99
98,TCL 5-Series 4K TV,319.99
99,1MORE Piston Fit Wired Earbuds​​,37